TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000163	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000150	0.961540	0.048263	0.000040
CCGT_AMMONIA	0.000166	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000192	0.630000	0.048263	0.000041
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	36457.655210	416.349903	25.000000	0.000000	57.058698	59.200000	0.000000	0.572565	1.000000	0.110430	1.000000	0.048263	118763.686179
WIND_ONSHORE	9788.200000	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.210518	1.000000	0.231671	1.000000	0.041639	6228.500000
WIND_OFFSHORE	27919.199993	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.212198	1.000000	0.389200	1.000000	0.041639	3737.099999
HYDRO_RIVER	580.165798	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004719	1.000000	0.451533	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	0.000140	0.000009	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000296	0.850000	0.048263	0.000110
IND_COGEN_WOOD	0.000161	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000218	0.850000	0.048263	0.000026
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_BOILER_GAS	38.152649	0.764407	17.000000	0.000000	0.647863	Infinity	0.000000	0.086582	1.000000	0.545007	0.950000	0.067080	7.981672
IND_BOILER_WOOD	198.535948	3.970702	17.000000	0.000000	1.723702	Infinity	0.000000	0.228670	1.000000	0.541012	0.900000	0.067080	49.763265
IND_BOILER_OIL	0.000111	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000242	0.950000	0.067080	0.000025
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	3964.783184	17.985876	15.000000	0.000000	11.929901	Infinity	0.000000	0.684748	1.000000	0.234074	0.950000	0.074944	17.536954
DHN_HP_ELEC	1097.197188	37.204852	25.000000	0.000000	3.452694	Infinity	0.000000	1.000000	1.000000	0.681397	0.950000	0.048263	603.496433
DHN_COGEN_GAS	0.000128	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000081	0.850000	0.048263	0.000054
DHN_COGEN_WOOD	0.000119	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000093	0.850000	0.048263	0.000020
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
DHN_COGEN_WET_BIOMASS	0.000095	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000091	0.750000	0.048263	0.000076
DHN_COGEN_BIO_HYDROLYSIS	0.000173	0.000008	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000208	0.850000	0.074944	0.000026
DHN_BOILER_GAS	0.000024	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000129	0.950000	0.067080	0.000005
DHN_BOILER_WOOD	0.000041	0.000001	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000150	0.900000	0.067080	0.000010
DHN_BOILER_OIL	0.000022	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000103	0.950000	0.067080	0.000005
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000127	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000176	1.000000	0.041639	0.000081
DEC_HP_ELEC	3915.328618	163.249339	18.000000	0.000000	8.633009	Infinity	0.000000	1.000000	1.000000	0.448174	1.000000	0.063806	1423.496871
DEC_THHP_GAS	0.000243	0.000007	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000459	1.000000	0.058246	0.000319
DEC_COGEN_GAS	0.000191	0.000012	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000132	1.000000	0.058246	0.000149
DEC_COGEN_OIL	0.000186	0.000011	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000095	1.000000	0.058246	0.000157
DEC_ADVCOGEN_GAS	0.000333	0.000006	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000075	1.000000	0.058246	0.000129
DEC_ADVCOGEN_H2	0.000326	0.000006	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000069	1.000000	0.058246	0.000127
DEC_BOILER_GAS	0.000202	0.000006	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000183	1.000000	0.067080	0.000027
DEC_BOILER_WOOD	0.000209	0.000007	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000203	1.000000	0.067080	0.000010
DEC_BOILER_OIL	0.000157	0.000009	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000143	1.000000	0.067080	0.000023
DEC_SOLAR	0.002018	0.000022	20.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001268	1.000000	0.058246	0.000648
DEC_DIRECT_ELEC	0.000233	0.000001	15.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.000333	1.000000	0.074944	0.000009
TRAMWAY_TROLLEY	4097.712279	81.954246	30.000000	0.000000	6.556340	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000116	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000548	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000117	0.000005	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000415	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3167.092696	154.106022	15.000000	0.000000	5.043462	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000049	0.000001	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000164	0.296800	0.074944	0.000000
TRAIN_PUB	20488.975220	739.453077	40.000000	0.000000	13.604717	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000014	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000019	0.051370	0.108434	0.000000
CAR_DIESEL	0.000013	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000018	0.051370	0.108434	0.000000
CAR_NG	0.000020	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000030	0.051370	0.108434	0.000000
CAR_METHANOL	0.000010	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000018	0.051370	0.108434	0.000000
CAR_HEV	0.000014	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000019	0.051370	0.108434	0.000000
CAR_PHEV	0.005940	0.000438	10.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.004187	0.051370	0.108434	0.000000
CAR_BEV	60416.526274	1456.978471	10.000000	0.000000	145.697847	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000028	0.000000	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000039	0.051370	0.108434	0.000000
TRAIN_FREIGHT	597.186664	11.943219	40.000000	0.000000	5.719083	Infinity	0.000000	1.000000	1.000000	0.342470	0.342470	0.033427	0.000000
